Tray_number,contents,tray_weight_g,trayandsoil_moist_g,trayandsoil_dry_g,site_subplot
5,300,5.98,17.79,17.03,300 SP2
6,500,6.00,22.93,20.08,500 SP3
9,300,5.89,22.50,21.30,300 SP1
4,500,6.02,30.36,25.84,500 SP4
7,800,6.12,29.64,26.20,800 SP4
8,800,5.83,26.73,23.38,800 SP1
15,800,5.57,23.45,19.05,800 SP2
28,800,5.96,28.03,24.28,800 SP3
29,1400,5.94,27.05,20.80,1400 SP4
31,200,6.23,37.40,32.54,200 SP1
32,200,5.93,27.10,24.16,200 SP
34,1400,6.05,20.32,15.37,1400 SP3
30,summit,6.04,25.65,17.32,summit SP4
35,summit,6.07,25.79,19.23,summit SP3
33,1400,5.91,24.04,18.00,1400 SP1
1,1000,6.19,20.46,14.13,1000 SP1
36,1000,5.96,25.42,16.40,1000 SP3
21,1300,5.94,25.31,17.22,1300 SP4
2,900,6.08,27.54,19.76,900 SP1
3,900,6.07,18.45,14.14,900 SP2
20,900,5.98,25.15,18.89,900 SP3
19,1100,6.23,22.13,15.66,1100 SP1
14,1100,5.59,19.11,13.31,1100 SP2
11,1100,5.91,24.39,17.73,1100 SP4
12,1000,5.87,22.89,15.37,1000 SP2
18,summit,5.52,26.85,19.60,summit SP1
13,summit,5.82,24.87,17.88,summit SP2
127,1400,5.93,19.88,15.28,1400 SP2
10,200,5.85,29.59,26.18,200 SP4
23,200,5.91,24.64,21.97,200 SP3
26,600,5.95,18.96,15.02,600 SP3
22,600,5.91,21.28,18.14,600 SP1
25,1200,6.30,25.99,18.70,1200 SP4
24,600,5.95,21.91,16.96,600 SP4
16,500,5.52,21.83,18.60,500 SP2
17,500,5.51,20.08,17.34,500 SP1
A,900,11.96,31.24,23.65,900 SP4
B,1300,11.98,35.09,28.45,1300 SP3
C,300,11.96,35.79,34.45,300 SP4
D,600,11.98,31.60,26.03,600 SP2
E,1200,12.77,29.17,22.85,1200 SP1
F,1200,12.83,34.23,29.93,1200 SP2
G,1000,12.89,32.35,22.52,1000 SP4
H,1200,NA,NA,NA,NA
I,1100,11.31,24.73,18.00,1100 SP3
J,1300,11.58,30.79,23.77,1300 SP1
K,300,11.56,28.54,27.41,300 SP3
L,1300,11.60,31.92,25.46,1300 SP2