,Cycle,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G21,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,J1,J2,J3
,1,43.20652656931,36.0548009347885,38.2561031986334,13.2502930342321,22.5323547724461,18.4088313528832,12.2124274943335,12.4565099847082,13.4334018054433,9.73875043104545,7.27055504803411,6.79784248321903,1.56057868108337,4.3995412313302,10.3495837425535,8.03352745186885,5.81579403239584,9.27612391173216,1.95647789716395,8.4663724388347,4.64360483594282,11.00902419452,8.0211420028545,6.90578973207221,6.43240491500728,5.27193223560198,4.10649542142346,3.57732394366576,4.70546404286506,7.20785308423046,7.55074632010064,4.69063973779885,5.29445725802952,2.6544970377463,1.82066955812479,8.03611271958152,11.8819161902716,2.60654851221807,5.42165820530363,8.39759747825747,7.108853418536,7.25878306337427,7.18031850252055,7.25316318786918,8.16949974732552,8.17655179887925,5.52173025525417,4.32070527252699,3.9732467725803,7.85595207939377,10.1966911330001,12.3026094766051,8.53571229134059,9.51332202298909,9.52566664492861,4.6871533503695,10.8984626812271,4.55831725593589,9.22178567318906,6.32730787314449,-0.167081173711722,6.92648655456742,6.38558353975441
,2,54.1893343026086,42.744792817175,43.6821815114304,10.8671466807668,18.3285915502652,17.2894012563897,10.4142178406728,10.06760156883,11.5772114734623,11.359240480132,10.2517605874214,9.15856115589213,1.28598402681973,3.59645467693599,6.05095527596222,9.26063784209055,3.46416246251465,8.70158364085364,4.75298470843336,4.54262135943554,5.59266430487151,7.40364414832266,5.31847771693765,5.09161471532025,7.22845539465288,5.83719290144745,7.82313205207902,4.64988630352491,5.32614224257713,7.19005952785801,8.73495788020136,7.74889238887636,7.41463221312051,7.64095098438202,5.63532413320718,8.57941748891881,9.55776052321835,7.10771670278518,6.68290824305677,8.85428369430065,8.09746453110074,5.60265694142572,4.49998740393994,5.80764986793065,8.2120822336492,9.46578750117396,9.49732066109391,5.71838244191667,2.61951639499193,8.4351935365662,10.6092623202785,11.9199134940686,9.38334295423738,8.22372184754659,7.27537766445221,4.43265900414826,8.56887729854634,9.19761667509647,11.0640583321947,5.81880771821807,1.79642498539852,5.01067927014219,5.34958104487441
,3,57.6690998424037,46.7188615239243,45.6654248357077,5.12184160027209,8.9704115288132,7.90953074657364,5.63393110803054,6.17836185794704,6.18922581500465,3.98419848118419,5.57149136435964,5.82931938733145,0.335591722806839,2.19956675287085,4.6657932113485,2.5376953330815,3.42237785139559,2.23340961778194,1.94178589870717,1.73353803780083,2.85507009101957,5.16036548894226,3.59413066438719,2.08726280229575,1.79504466967637,2.68192793026174,3.04338444041332,5.54184209127698,0.814422252262375,2.96201364569379,-0.361573638416303,3.7848853325695,1.48614611876064,6.16768246437368,2.34796617920756,2.03514245993301,6.12500412143845,4.38512543999786,3.5564437643975,4.10270626855527,3.59642191090961,4.01080981334508,3.42798681614067,5.55145449967222,0.476118632982434,4.9565390255957,3.31753564820156,2.08919697032798,4.30928456322408,3.53675227450458,2.77340950076177,4.73719171322773,2.62487689881164,3.53955244558892,4.99722016494388,6.36869788143895,2.80155975613025,4.24555375439741,1.72901142841692,1.80689473963412,1.0851183645018,2.00359948157393,5.40379451741637
,4,69.5793302028201,56.500046964271,56.5964810620185,1.76028247308477,4.41188475173385,3.65283342737257,7.29224581657763,3.73641463096919,-1.54454253257609,-0.869156027652025,2.96992383374982,3.64782079797169,4.21724304098825,1.02982084508494,2.70957110959762,2.47145597982535,1.41976237034669,8.54568011469337,2.11161957699505,-1.28385701889692,0.759477290646828,5.01403592911083,4.17362463094014,4.20735784661565,2.80765660468978,0.255430493702079,0.692382439181984,0.850621887544094,2.3285606992813,0.351968769583436,0.735715717117728,-1.73555994848084,0.0952585751460902,0.250846765902224,0.901591500974519,1.03928409123,6.73232501698112,3.05892233279383,2.08949389006784,5.13850738579004,2.99996154307246,2.74501872656128,2.09124264107413,3.35649355202986,4.71103794019837,3.37147867013118,2.36303424905645,4.18022549275383,0.70178656396638,0.378752671539132,3.47178447368469,2.75663006513696,4.1367534194419,-0.137766299111718,0.10468085202092,-0.567365278611305,3.23338120377593,1.08585613862851,5.59969370116141,0.560615412449351,3.18375642967749,3.28160044408241,2.05187843696012
,5,94.6526058199329,76.7064155263388,75.2508909823978,2.00800591749794,-1.44708142459194,0.850678091779173,3.92649613790854,4.27306547346916,4.40989044572962,2.08808304324248,5.29512959876092,2.88256524339567,1.47552467310879,2.32951164366887,0.174788249293215,2.44511499651071,5.63174119813357,1.14686178450529,3.53284315969404,3.02942423147897,0.630749297326929,3.57623416285514,2.16278110880558,3.94588098428903,1.35240357312205,2.8572509701703,3.0367539243216,1.88682264894942,4.67356592503211,4.11268308604167,5.25775201139095,5.19478754796955,5.05595523888405,1.89203618107558,2.76723331801395,3.17455365785327,3.01233434491132,2.69123975478897,4.05992856972125,1.89929079394005,3.14656131925176,3.59891264737007,2.25273093210535,1.77205457133232,5.40686215746337,3.26175517793854,4.57897847109052,2.07318722269292,3.76700323250498,6.68117249965417,4.64394168640865,1.35586815046418,1.63711780493668,3.31891818767326,3.40616642036957,3.50289346958198,5.0453509402987,2.57276484823751,3.24440849951179,5.6478511046048,1.5954372053252,0.518718243682997,1.98868397690103
,6,136.224191862601,113.741233452211,100.042386674085,-0.0315820382102174,0.880811425625325,-1.91966875763865,0.620569099158729,-1.25425741378467,1.50395267675731,4.96224236820171,2.91860091918397,1.65470033845622,2.34025011091944,1.50574230571101,1.53032752582249,1.92936602708596,0.836759343876565,1.17507966146468,3.31020458742159,4.03725045240753,4.71621620350106,0.925437954043446,0.858371711930886,2.30860587294274,3.32578564718915,4.45305406094985,2.42292613164273,4.18964617496113,2.81942687356695,3.10356337903249,5.37749051808078,4.65312443759831,4.49862612849984,4.69875721569133,3.70383443115543,4.22157494157591,0.08312445456977,4.17794283901685,-0.656718305616323,1.15016589957168,0.932295971169424,2.0496360375214,2.98798517583054,-0.358806735346661,3.24730419027674,4.18719766583217,1.77895159170748,2.79068828309255,3.37503283247497,1.99371043382098,3.62245043079793,4.46636624825442,3.88515629574795,4.18158339027286,4.96572448411916,0.786945282936813,3.75324217455818,-0.359138629962217,4.37216997512678,2.64770270715098,-2.57033087797572,2.17189928859261,2.47476684634557
,7,212.549917256718,179.69766780795,153.395154543294,0.944014049679936,-0.721128919476087,2.92718962326353,-2.77013595816152,1.01257770617121,-0.498355736006033,5.36354709789839,3.4613168749479,0.265865008805577,-3.02168858109053,-0.155627254619503,0.990964285269456,4.34737876767485,-0.674992089529042,1.98934469023061,1.04300595451923,2.40574351125588,2.16315008162974,2.05029792565392,1.34023716946604,0.213418480967448,2.96446431567165,4.30209701446756,1.09613000367517,1.23187766486853,0.215790665950863,3.56390517444606,3.56162806032353,2.7393537411167,0.78583605754875,1.67805030545242,4.74768387126278,3.60243520714539,-2.48663097961753,3.34863285115216,1.43563775581606,0.617407480053316,3.63089485679711,2.66347014129724,2.5653814804582,1.99924414559837,4.67889497616716,3.42030705842217,1.69437695981105,0.997888044119463,2.44755785497955,3.23177117696923,5.24321678976912,2.94039678106446,4.7223540734467,4.3139952434808,4.43721709186048,2.76552395500994,2.27490352963605,4.12061957423884,2.63138485607351,2.18452080315365,0.846951728566637,1.27104826873665,2.51910953470588
,8,345.648073334801,302.60513812094,249.36913146836,6.01952024545608,0.82027792645431,8.89898639892317,-4.28190065981926,-0.505756317453233,-1.61976486818276,0.319436018833585,-1.19315031309134,1.10807348946901,2.84086682750785,0.874839835562398,-0.196579208770345,-0.688442903755458,2.14868402677121,-1.77947007190369,-0.954554969971014,-0.703288555718245,1.41275999306208,-3.73136751324364,1.35257103466392,1.35061040757591,1.06740792904975,-0.540926126128852,1.80100527992454,0.475353544165955,1.29490919531463,2.09016579110221,1.3901881086108,1.36766448404296,3.74398836559021,-1.8026007929484,3.09822826598111,5.02401522081573,-0.836756677897938,3.91395851214202,2.80477161599902,2.20125262350666,1.76651947106302,-1.29029087323306,-1.37766333781155,-0.472557814311585,2.5356587521137,4.70604540702516,-0.425620956870716,1.42634354029451,-3.05124674944091,1.6745366048699,2.64745822461146,3.05290768829764,1.2538444906404,3.18224394764866,2.75622177095602,0.565944238943302,2.1218331925179,3.47804634550857,3.61031100725904,-1.74598793236282,0.884524781126402,-1.97650306523428,3.31979461365836
,9,576.120349516019,505.71806397452,411.045593631266,19.8966611659575,11.1228319106267,28.6504719418308,-4.56810707578006,-3.69676466198007,0.249286919712176,-2.43681966399345,-0.72954195695911,-0.0920438515058777,0.136265044783613,2.41294576214159,1.57855160073905,2.1902548981011,-1.87698442151714,-2.22065652433093,-1.28250509361123,1.40508466779647,0.199275565527842,-2.39719718796778,-2.87876773636526,-1.38656942655325,0.0224511352143963,0.137176966039533,1.07422719895249,0.0121235820251968,0.368226160670019,0.647584045417261,0.110601960554504,3.0689414832741,1.12715758963031,3.46612641985348,-0.0118349725858025,5.20276961013542,0.162220740108296,5.08025699067821,-2.95985608708179,-0.745169397088375,1.29697447070657,-2.26232181414571,0.57057022187837,-1.42725854543141,0.507474951984022,0.982748611788793,2.91176361352973,2.05996177698535,-0.57652457049835,1.76065539150204,1.30261026402695,1.84800799736058,3.5184040951749,1.88865345617251,1.15936477223477,1.11993800920618,4.46607423386786,-0.165520954033582,2.61636549250989,0.367425016479956,1.70060344096828,4.19518773098753,1.48431920512076
,10,938.257923079351,837.598035092292,687.099042885997,47.2009237314578,36.5316068622824,73.2639500413143,-3.51907493242334,-3.21278173438623,0.918040679150636,-2.05687036755353,-3.69153187955226,-3.14844517901338,-0.177159639950787,1.60046383184317,1.36027090351308,-1.31435392226422,4.04892346023462,-1.41848604529423,-0.484254272846556,1.26171972899647,1.71977022302099,-4.8127586958658,-0.644212174481709,0.095845288352848,0.379644118075703,4.24432164078462,-0.0391447271440484,1.51878960021577,2.89961636700582,4.0389353193209,1.37207522268545,2.47209629765621,1.37273310571845,0.932392169558625,2.50684099112823,-1.10541130554748,3.74169851397346,9.23064769738585,-1.43567612035895,0.887123094910294,5.01877362816413,2.65651290982305,2.50702036971279,0.544264993293837,4.50466640030345,0.540484507535439,-0.0598958920190853,4.13700409390867,1.12414895784059,-1.71578250416769,4.94691736858886,2.30572236861281,4.6962379073957,2.13176845850785,4.59792327057539,2.20276205040318,5.83560564237632,0.683236508132268,3.95182837686025,0.0982419655892954,-0.215548239220425,5.83478530851244,3.8462541718809
,11,1453.49021717335,1326.36820094588,1102.15427600655,100.89146760419,86.1129250413155,159.114336181301,2.55735725509112,1.16541117723455,7.20351955545993,-3.81089346766657,-5.16942291552687,-4.2827716990746,0.151061223098168,2.81642947917908,-0.824335381997571,-3.78517000100783,4.8768886730868,-0.0685430245189309,0.589671793289654,-0.76775116167255,3.17645131023937,1.64008073141758,4.97501543156932,2.66893259303697,1.61038820718659,6.93326902785066,-3.50829728704275,-1.87668505794409,2.91992980323084,2.18268765068069,2.73155736018452,2.51343116870294,2.68109848619451,1.39639391033779,2.68496474819176,-0.357433188699815,-2.65033582010756,14.1687542944182,3.55994028697432,8.35070290125668,15.2054512751847,2.11155794295291,5.04864600318797,3.86285849849173,9.81325184788466,2.69842161349152,2.21601547878345,8.29752595994159,2.97846687431093,7.64770566759034,11.2523895603549,5.18266720215433,13.9633978209126,10.9796603466416,9.01477071589716,5.53783037585799,11.4256153546044,4.95736513452675,7.75471257160279,1.18270867911178,0.804983889800496,0.183793170252557,-0.486615146219719
,12,2070.61520675593,1943.51103914208,1657.11091308485,199.348864553823,183.677091881927,314.626404449862,15.3505831645293,13.3197080783521,22.9382344543615,-3.30099441129641,-4.63062210177486,-3.43630959814436,0.484136722327548,0.494276132889354,6.87166026017258,1.74657921182961,12.1213007777101,-0.481840625606765,7.1100983005058,0.518267731536071,8.19146455789405,3.13999664377798,5.77461014123446,6.52809493858376,4.57857088971059,12.5269548205711,0.590323648926642,2.19150509863857,9.53042716717891,8.60712509629775,6.46907999083987,8.18126698693141,6.43237807495416,6.60745285685789,9.60923304664948,5.01421821072381,2.34630445523226,25.1655538081354,6.08146355954159,8.48382349936037,31.36362627984,6.903683006959,13.050734415609,6.47051568358029,19.0350116586646,7.91713475470669,5.86698732139075,14.9448018305752,5.93494967590732,16.5320476055031,33.5746210270618,15.3585468370757,31.3129987402185,15.3808327619145,25.0086955193647,12.7997504435903,18.8754902933811,15.1314627607439,13.9107229155579,5.60297636587211,0.401786928170168,2.72297124753914,-2.17996747928873
,13,2637.71455136407,2528.98343553548,2247.76089911092,386.144888696685,362.188190434178,586.651478134118,43.1136457938878,40.069335950438,51.4509983139474,0.247036234580264,-6.11696466528974,-3.58922935335295,2.30401624668548,1.78424860751738,13.0866367443905,3.00239770057897,26.6402519502876,2.71764996897718,15.6892136604124,-1.2222760560885,19.6609674057845,11.0060666587497,18.0234173398062,13.398311032347,14.4017119523601,24.8343023242455,1.33095408767076,8.03953359298794,20.151565633179,15.6376374762799,12.7752128090156,16.8145084503744,17.8413460289485,16.214088007604,19.9443315567687,11.8034704730221,11.0382227021437,43.4255304833391,16.7008027909701,23.6486040412756,71.0391955470413,19.6143574656203,22.8180002855593,19.394267513379,33.0330885173939,11.6951669408668,12.531089972912,32.9304932845744,15.7500023543307,30.2610535464537,65.9764980289415,27.355614678484,58.7062444040616,31.5558193501347,44.6362883858469,26.8311074986359,35.6398477558105,26.7226411232559,29.2599198162011,13.3100838109171,-1.29123686711546,2.02767097026117,1.45529610158201
,14,3112.66666338268,3038.64067126674,2776.19764136782,680.488455325234,656.500216472366,1000.40160064507,89.653646575423,93.1231867868373,107.102516056063,2.15426953457109,-5.52630401433544,-1.84855924428075,1.93567484595724,9.27608275103694,29.2733520029624,6.42773673437796,52.647793949342,9.57304418787362,26.138529012042,5.58559013125932,35.5959705491591,23.3399334193155,37.660087993007,33.8781728335098,26.9077287916525,48.4310013873469,7.14943775479333,19.5486052944866,37.7826957451207,34.9555667674308,29.6366749976964,36.7859025165062,32.592179943435,30.9446785588189,34.9947186440991,23.9489780392123,23.8717136727373,81.2671289373438,31.7336180602488,38.8639763680612,139.522119574317,40.5585060248341,40.614030990127,37.8019394762641,56.9116328504647,32.1539924612403,27.0303123819826,61.1746679862167,26.6836966169667,56.6433199227054,125.22105180888,50.6713056570807,111.039452641897,67.3881659665885,87.407544529698,51.2834929985215,64.1334976535973,47.4927886302962,55.0449618700213,30.8750372676486,1.59128266439075,-3.17852895076658,0.803587024807257
