,Cycle,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G21,H1,H2,H3,H4,H5,H6,H7,H8,H9,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24,I1,I2,I3,I4,I5,I6,I7,I8,I9,I10,I11,I12,I13,I14,I15,I16,I17,I18,I19,I20,I21,I22,I23,I24,J1,J2,J3
,15,3460.60567781276,3424.61637773961,3195.2889170913,1114.7246714748,1123.1030817248,1578.29467440522,187.761960163199,186.274904828336,217.958737986138,10.2778580277809,7.1485198348646,3.68864256263578,-0.603571687903241,19.594468103598,56.0154295684911,23.2713116226664,97.083495194272,22.3857328843969,63.0931112647572,15.9744469499801,64.0776529969467,53.9205969621557,73.9206916059206,70.3788376375492,50.3831496888815,97.6693791579105,19.2294214530621,39.1642789614966,80.9011903217629,74.1559969999962,61.1623238798607,69.4234087608265,63.0824180710333,63.3819314817724,65.6660286895485,50.3490537071948,51.2825064657018,143.372522333268,66.8274747262403,86.0194852596946,268.004240519466,78.8800494955958,78.7778746282997,76.759532721876,106.173267001053,63.0935090838261,55.6716006736024,113.82455703602,51.6804993121332,114.60911646237,240.431725899783,102.919902548508,211.949691158376,130.308860566627,160.825134555812,96.7830168540218,119.975673768774,94.9514918138511,103.187500162866,61.8588155090915,3.48036892918162,2.64380275989788,-2.68120757252882
,16,3696.71691360821,3690.41325062012,3497.11515380455,1654.81844730957,1744.03718356688,2212.59947378896,362.925177782354,359.975169762524,415.196540557751,26.9523577076343,18.6505535343899,14.7968885218183,0.114610749136773,36.3636364730414,110.888364403693,48.8933147645398,182.955903689095,50.4281224410011,117.075730976147,33.5450498052201,118.468091950786,109.662428683795,134.70251174342,129.268872001946,97.5563992827306,176.689321875749,36.7472441713244,73.5185947870232,147.85850964881,142.470918221979,120.929242163587,129.655172645078,120.194457062223,111.350078929219,122.710950666771,103.879655806449,104.234512568698,259.958027731221,121.076802360916,171.80295127409,483.823405376446,140.252949900112,140.292785731213,140.988966489339,195.702764629762,116.958495937173,102.160247908001,210.728486125731,93.3519524441872,213.56711387142,444.942722498492,188.381132664812,386.439556624883,242.003141954505,286.825669669281,175.883275004619,219.831335083214,178.258801667296,197.273083044374,116.759078337438,-2.09439328895269,1.04757121548073,0.188452782866079
,17,3846.97218777281,3862.89718811297,3696.66977195841,2154.31849217519,2408.79422096212,2780.60113470324,646.336278620665,649.615922752472,731.383570827778,66.6893050146386,47.612011568694,36.4531570286058,1.69736760530259,70.8790134596211,209.719729799425,94.6837981638382,322.496134972489,89.6620785614737,214.060795994771,70.2271997634307,208.315268795981,204.530896782399,245.413883056755,239.553579887421,177.820445446478,313.388400286541,71.6094212752182,135.042632046171,268.458322068711,260.761183785706,223.252555591752,235.926696439797,217.280962868868,205.137110724694,226.553993092221,194.134093825496,188.693660105876,453.030896865952,219.56143383291,313.340177680126,824.172416329851,250.854943508522,248.040698110979,256.996543286298,355.434556348726,210.62079213732,188.56931438938,373.476370703783,177.013694001254,381.114188984043,764.72660702876,338.4281093978,661.895192314785,429.429181405364,514.139822624636,316.01121785914,393.474482979691,322.340224573087,351.358650356267,212.470366991614,1.4552802138428,-2.41542700352466,0.830753017625284
,18,3943.797367342,3973.81825122407,3827.9179634886,2577.90945412339,2999.18916505116,3235.10361972163,1088.33565067955,1095.67791370691,1211.33450275945,130.792630373582,102.626943994857,77.1965396137966,-0.137559416085423,131.23383472578,366.638370221622,168.97911107481,563.745242106251,174.567819254217,387.907013394265,130.164697373145,367.885664212787,377.241976283756,436.057596725847,429.409922875968,323.744886772735,544.220737030124,128.696852569147,250.05900132879,474.979601656465,461.09808316757,398.201754042919,416.746748744189,389.743272255912,364.03989852263,398.263255516802,349.929469636691,344.694114297148,762.334589296123,393.540590234572,538.140068068494,1305.73754214983,445.984854800053,439.396944665287,461.434161742866,610.721799097925,382.371348290344,336.023236976718,651.930816123986,316.499299471839,657.326019851195,1252.03475846143,589.249927679661,1081.47282842779,738.442626355731,866.954360219612,555.414221598295,673.096842672102,565.718203159944,613.251483792587,382.35481340688,1.41676970584467,-4.22160274934686,-3.03524266012118
,19,4008.16079345096,4047.95590256448,3914.82821356582,2886.55563155488,3464.93818022255,3558.12516360076,1676.39897642985,1695.32054163043,1842.86727523865,249.549553048595,198.714377929698,155.613246135635,-0.0962645040231109,235.152856963954,642.707233719093,306.917060942183,937.446950619022,313.51216192724,666.930905588562,237.500564654279,631.859561178699,671.095883251327,748.603398373338,737.388997953371,566.924506216679,911.345711326068,238.120962916168,446.936007059197,806.465944890921,790.290356510277,687.729029590917,720.441442066935,668.746411766742,627.417659529527,686.412101791291,608.617998288427,609.674915492618,1207.47422747727,676.770096413981,871.763742966342,1862.1265353537,751.359074190787,752.818919660561,787.670363707447,1003.75734660856,661.204463876114,587.920865228194,1078.18177693521,556.747126163638,1091.85521574193,1879.10739064496,982.409114922179,1628.95805241444,1190.2407529317,1382.01860941114,929.803966349923,1097.80013010067,952.571183165036,1018.7528920797,663.531957456058,0.482578504945195,-4.54302328260428,-0.770259938375148
,20,4055.24412704276,4100.34689783831,3977.41218285338,3092.37275317374,3794.58724114398,3773.36626311206,2298.17777786516,2328.31354023181,2484.6782147421,460.688871864357,382.700465845767,297.896849638483,-1.53656715983743,421.189477072873,1047.23578482247,535.731246604387,1443.21611390257,541.81039298294,1084.69918691995,422.674594502794,1032.46542031571,1109.68973266076,1205.83757661345,1195.73853645134,946.599883936158,1420.70061060381,419.960369438421,760.875879652769,1267.52987255246,1262.91212065333,1109.20827308161,1163.83453383201,1090.77310074477,1034.98223995676,1108.96196054206,1011.37494429086,1038.22149067684,1741.12794412519,1095.96713388143,1279.35186087198,2359.66437364107,1192.03311812996,1214.72589467739,1247.51195834065,1524.25781508596,1074.12786639109,973.377327085505,1662.85571061115,928.429999919212,1662.11740187946,2483.67321669867,1539.9276882497,2179.84950101646,1766.80596773176,1993.60333998439,1459.47878286403,1666.37402760911,1517.65129545993,1585.09258238591,1088.89083014749,-1.22173310103926,-2.35367533197223,-4.58865841668967
,21,4088.49820842569,4138.602681413,4024.37850711432,3221.75312538563,4011.13187039618,3907.88259077159,2848.5365404918,2891.80678282444,3046.73829455821,806.664124273877,681.847748458048,544.110273932371,-2.58989131756061,711.699644498742,1562.00887183183,895.266116340295,1996.03538549673,905.845701804435,1640.9098787311,730.346611977689,1578.55272735615,1708.65401563824,1798.69150731062,1791.53451500216,1464.36858943882,2026.10968672861,724.628093342949,1235.06672849171,1827.27527508346,1858.26650784189,1650.01374661395,1754.60311212057,1652.61476752316,1588.84584090244,1674.15350051819,1570.09235021679,1663.23273669539,2232.22670865806,1644.25589647011,1676.15366718382,2735.94203761561,1747.91001642154,1811.75061553648,1813.46311817246,2089.8035764403,1636.57719539287,1521.95662134261,2312.38096984719,1471.4508441503,2269.65545226538,2980.33087066501,2209.61845294901,2639.15981374499,2331.13437532715,2556.67924031997,2093.38554124367,2271.2399385431,2210.94769830585,2241.21803698119,1680.59399337352,1.03062717507419,-2.76993205407507,-5.54710744817612
,22,4113.03520264582,4165.03342965853,4058.01957000725,3302.42321511661,4148.87479413978,3991.84441057737,3277.90097503563,3334.6995799442,3479.53627953007,1307.94646519149,1137.54814409976,939.467183467734,-2.39344910864702,1114.18476934814,2069.64945999913,1413.43823059394,2483.73210354889,1417.23959918668,2206.45836881384,1167.06306271642,2170.19362698496,2326.86653409491,2394.60133864428,2377.31677177876,2039.46353632019,2582.53215126906,1184.73146537011,1844.60117502844,2319.70280706291,2433.03121503599,2177.57264668494,2353.06011159899,2241.12519387798,2201.44976180172,2252.29258812501,2202.03977151413,2459.08310883982,2623.94670171881,2186.21132090815,2002.54236919863,2950.33738848137,2278.76133582313,2405.43181786257,2321.22687473327,2571.72149948318,2228.21941202701,2170.95795320635,2877.66589807757,2136.56052789431,2788.51966518332,3295.89332342718,2821.40281656258,2941.47487407257,2790.54882853169,3005.49007840121,2671.07133309339,2795.06884693664,2851.03893520138,2833.24034581414,2315.59495588214,-0.428606330877756,0.140414921059801,-1.89695140750291
,23,4130.77011279049,4184.40781571879,4083.13908148623,3349.55826792098,4236.6175931125,4043.99546523194,3575.8960254609,3640.76890334573,3775.91580917615,1945.13929311922,1741.68723180849,1484.74810292088,2.06327718372631,1589.4561864482,2490.49568406618,2034.48496955043,2846.98190359463,2021.59774457031,2685.97169665846,1698.64899895535,2689.57325390659,2854.3820845421,2896.91941512496,2866.68299750999,2543.38916720879,3029.44968824321,1796.53673190206,2452.63111558322,2708.26801319858,2910.08117613407,2611.47329596061,2865.28705055482,2748.65587482912,2742.54618760137,2744.34678135664,2765.42774900545,3214.95784546694,2865.34602226855,2638.2184355856,2217.06731674154,3014.68777889623,2719.69944668819,2900.4186987513,2724.83181193547,2911.42235331533,2741.27822474785,2760.56428598953,3291.66703972227,2755.51666247519,3156.48782186655,3417.57831801839,3307.11074362187,3071.60332915445,3079.7998241428,3288.21754661003,3130.71740596666,3176.70677443376,3367.13644125749,3296.75310358042,2869.57034294625,3.8043321254213,-1.33208533815514,-4.16267220610052
,24,4146.40968779977,4199.9558715662,4102.76592898252,3379.42444337559,4293.3617708523,4079.59381082901,3769.06002907844,3840.76275367232,3969.71002239394,2570.47565783845,2377.90130520366,2123.98504538378,2.81913345130943,2003.44135870701,2771.38159649892,2615.48297033551,3054.07572607627,2585.07689949252,3025.40910363298,2191.51760268104,3078.43656774026,3226.09255917501,3240.43312692567,3193.10466196619,2916.11981097223,3313.86176317739,2460.15568437841,2971.19022826119,2941.51765739274,3228.79428523064,2894.50959429178,3228.47005921807,3111.08484034433,3149.12509225599,3091.36568383577,3196.01876579238,3846.96518452344,2953.1803264615,2941.27628650746,2315.89152658474,2983.74002286261,3014.55391186861,3233.40387283626,2970.78785381683,3079.83629567207,3116.76730819589,3230.78511008134,3520.22981403269,3263.66886461446,3351.9070449097,3395.59055197432,3604.71740959781,3073.5383357309,3184.38978167021,3411.22500787568,3414.21100909726,3387.71392589784,3686.68711408954,3583.8372427608,3275.70316854638,2.23508523541068,0.946577852861083,-4.58052125745917
,25,4162.3221154446,4217.4524620774,4124.4034905593,3403.54173289353,4333.94406800519,4108.43706092094,3894.30861051262,3971.68817752809,4098.99993372958,3111.05605139432,2943.36429149722,2713.07316823701,2.03676287784765,2327.41004882904,2902.7941442162,3090.16381688587,3118.82106130017,3043.05983621286,3201.31532548187,2592.65937337873,3298.59307674593,3411.89165917886,3406.63959320086,3340.8670147894,3126.62791566021,3438.1572098156,3045.16352390849,3337.06422544024,3028.12435114972,3379.2460373788,3017.95339678972,3412.08471659145,3298.11450745926,3380.28741606001,3271.07088896412,3447.36961165079,4260.17083974068,2936.18389635655,3078.37138229508,2321.21731722805,2916.04202878304,3150.5469636825,3391.65646071084,3067.85979834521,3107.48173700315,3321.61239233356,3531.58432995518,3589.06928559655,3600.19683324068,3413.59190962431,3311.9639351927,3715.73957810355,3015.1396345988,3156.1904495002,3429.29194345467,3531.3333743172,3455.57558787267,3813.09342268501,3704.49648575583,3496.92276130343,3.77023706045566,-1.54096429331275,-3.2308246136472
,26,4175.37073675685,4233.5238449816,4143.24974776904,3421.77754274519,4361.58373927577,4129.32277694542,3974.84318461065,4058.38859439446,4185.85393952637,3520.59139223605,3389.72282843897,3200.44820311454,2.86339208389018,2514.10929053702,2917.46939390558,3394.38337391937,3092.91432690242,3340.63309496132,3242.7533745619,2850.42641635607,3357.81411145779,3451.88505549046,3423.04147384531,3342.58909127919,3192.66560357979,3442.85969598195,3479.40950045504,3516.22339249083,3018.16364770394,3396.20585271971,3016.24861315105,3434.28943892945,3326.21845201589,3446.51188406199,3304.4567295683,3515.61809358319,4427.15464590712,2869.65783804902,3084.00258434959,2276.0722496087,2847.99749139281,3151.21573494109,3410.39680798866,3064.60689955796,3052.17862783404,3371.11399460644,3657.10369850077,3560.53656882754,3750.80058960886,3399.03498955913,3223.05168859244,3684.3044177257,2947.79269820496,3067.12003065863,3397.49603200168,3524.15306122489,3432.44966137757,3800.29002846352,3704.29193031437,3551.63305982959,10.0378795838701,1.39206264593577,-1.82421587821136
,27,4186.47310276426,4247.03293946285,4159.58948351079,3435.66038348353,4383.39799738031,4147.764804439,4028.30612816399,4116.26748612512,4244.17971796697,3799.1856761139,3705.33109734974,3555.53722717345,4.36621040985347,2576.68910749402,2874.1933630208,3510.84276479152,3028.23262457407,3458.55801642838,3204.64132939651,2971.79965384965,3310.07396068146,3412.30885880941,3358.97824151355,3271.01872722719,3171.95160764004,3388.0900547433,3713.44574448535,3541.1559752263,2968.23486914117,3340.92330934277,2954.21095458249,3357.8168234384,3256.25320112417,3399.55316391822,3254.80854126144,3453.27787647427,4393.92159482669,2803.0500602551,3022.1962648068,2219.39058481904,2791.65952150687,3078.20659159716,3355.17169401647,3021.34699752013,2976.67790661092,3320.87213376921,3644.07269356332,3499.5695208255,3756.37189393658,3363.00455105871,3157.1179550337,3586.89741143089,2895.27785431607,2980.79300594815,3361.17189987053,3461.0113098109,3375.94338147768,3731.07270563078,3650.41553264429,3503.81822153791,16.7408007187109,0.838258508613308,2.17084863425953
,28,4192.26402077657,4255.36956031961,4169.68822852799,3440.74908234471,4395.43167154869,4155.03868153069,4063.69927011068,4151.64265563413,4279.14001769131,3974.44600899954,3913.79159219995,3790.18255539883,-0.469874943591094,2561.14995348723,2818.3869216262,3483.37660785504,2963.12233562418,3429.79180368033,3141.46778065797,2994.14765152309,3219.66041416993,3359.03075080131,3272.21280303368,3185.88212829807,3115.80407893831,3317.08225574291,3753.39716142997,3471.54307303428,2917.64046829297,3269.46812952228,2880.56952270496,3248.85566351473,3151.58225589465,3304.91008278257,3176.17859909829,3329.9130865765,4254.17208088377,2747.44880837881,2947.01875366561,2169.76821803013,2747.3878656484,2983.32848882447,3282.09239989844,2977.55915180028,2913.12400843368,3227.56040610675,3556.89225597487,3444.30773236802,3680.74825825795,3328.13576410011,3103.59901997778,3479.92869480538,2856.79435425217,2916.97586925484,3329.89633978923,3391.13902720256,3319.0604547644,3656.80399213423,3585.32693148904,3423.1516920148,27.4388052955596,5.52320171881092,8.55880050413316
,29,4194.9332563428,4259.38084162934,4175.08583553445,3440.9084954165,4402.440066466,4155.69512845,4090.38713921911,4174.04455537436,4301.34245943263,4092.66147244374,4063.45767523983,3955.9484561567,0.682273139337212,2514.74479479391,2769.76995582794,3375.17018356798,2905.21140688109,3312.15638078111,3080.54012672009,2969.11830406876,3129.72501099604,3313.85159146057,3193.28399360381,3113.0496871992,3057.91113540624,3249.83094713867,3671.41450132617,3369.01856149892,2875.50116337145,3205.51238942512,2818.39151936189,3146.44996658437,3050.72808902117,3203.49873196724,3104.76003528373,3201.53989009334,4083.02080641,2698.49487736373,2881.41893949543,2125.62823847957,2711.59302279709,2896.02121864941,3216.63804540345,2942.9504594447,2862.28621367609,3131.47846081384,3447.46683281084,3399.44354462145,3581.88608238037,3299.15827390132,3057.88882926881,3387.44113473108,2826.24599306447,2868.99992075543,3304.89261990809,3334.28640624796,3270.7969585744,3594.3377914433,3527.87143440412,3347.42760032613,45.8497503657804,10.780328735168,20.6055369040701
