,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
A,Content,,,,,,,,,,,,,,,,,,,,,,,,
A,Sample,,,,,,,,,,,,,,,,,,,,,,,,
A,Cq,,,,,,,,,,,,,,,,,,,,,,,,
A,copy number,,,,,,,,,,,,,,,,,,,,,,,,
B,Content,,,,,,,,,,,,,,,,,,,,,,,,
B,Sample,,,,,,,,,,,,,,,,,,,,,,,,
B,Cq,,,,,,,,,,,,,,,,,,,,,,,,
B,copy number,,,,,,,,,,,,,,,,,,,,,,,,
C,Content,,,,,,,,,,,,,,,,,,,,,,,,
C,Sample,,,,,,,,,,,,,,,,,,,,,,,,
C,Cq,,,,,,,,,,,,,,,,,,,,,,,,
C,copy number,,,,,,,,,,,,,,,,,,,,,,,,
D,Content,,,,,,,,,,,,,,,,,,,,,,,,
D,Sample,,,,,,,,,,,,,,,,,,,,,,,,
D,Cq,,,,,,,,,,,,,,,,,,,,,,,,
D,copy number,,,,,,,,,,,,,,,,,,,,,,,,
E,Content,,,,,,,,,,,,,,,,,,,,,,,,
E,Sample,,,,,,,,,,,,,,,,,,,,,,,,
E,Cq,,,,,,,,,,,,,,,,,,,,,,,,
E,copy number,,,,,,,,,,,,,,,,,,,,,,,,
F,Content,,,,,,,,,,,,,,,,,,,,,,,,
F,Sample,,,,,,,,,,,,,,,,,,,,,,,,
F,Cq,,,,,,,,,,,,,,,,,,,,,,,,
F,copy number,,,,,,,,,,,,,,,,,,,,,,,,
G,Content,,,,,,,Std-3,Std-3,Std-3,Std-4,Std-4,Std-4,Std-5,Std-5,Std-5,Std-6,Std-6,Std-6,,,,,,
G,Sample,,,,,,,,,,,,,,,,,,,,,,,,
G,Cq,,,,,,,10.0852524754564,10.7481404955145,10.3008577066705,13.7163057608212,14.2394665173503,14.1571828634695,18.1268613818687,18.1257856532216,18.0006360402869,21.9052577749297,22.6956761366007,22.2756739716404,,,,,,
G,copy number,,,,,,,15300000,15300000,15300000,1530000,1530000,1530000,153000,153000,153000,15300,15300,15300,,,,,,
H,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
H,Sample,,,,,,,,,,,,,,,,,,,,,,,,
H,Cq,22.9692974235669,23.162715720861,22.0498177713087,22.9834233691667,19.7427366997371,23.4489114073853,21.8968768262161,23.278890171129,21.3513845881612,22.2906442475424,34.3784684899766,20.2413947404629,20.5373052271504,20.3458132897184,23.2945232309159,21.1412279326539,20.6356408225545,20.3711722903912,21.8394159788438,20.1885729714755,21.403475727877,21.2805823529671,20.2671766740593,20.7334304191468
H,copy number,9614.32369176652,8596.22758862571,16368.4242631983,9536.05040185271,62206.21794109,7284.16545944639,17883.1797289418,8037.30358413598,24521.1325311645,14239.0554973637,13.0469782674621,46613.1673760986,39277.0571166637,43879.9003554525,7964.91958651349,27692.2424620291,37104.3438857947,43240.6570309464,18487.8361339897,48060.0302993644,23792.9736711041,25546.7047887013,45922.8647624918,35062.8969732833
I,Content,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn,Unkn
I,Sample,,,,,,,,,,,,,,,,,,,,,,,,
I,Cq,19.7556641082648,19.7582413227302,22.2149783365791,20.8811748950026,20.1190709395811,20.996983078003,21.5956550610228,21.3427384097255,20.2064682111164,20.0723599727128,24.2960660489721,19.3208581286434,20.047873424593,21.1038489421912,18.7613653131882,32.3760444460908,18.5603703469009,20.5049135804338,20.9571328786948,19.4043722100343,18.7447585469915,21.0434133062835,19.9543742405055,21.7884870524386
I,copy number,61742.5863668586,61650.5704897933,14876.4021620247,32189.625916873,50032.434055157,30103.0464982445,21288.7063721434,24644.1318998397,47564.8926500921,51403.3307712825,4461.37516005058,79407.6581374369,52136.9162254903,28297.7820017435,109768.28153041,41.5689414784979,123308.185023382,40020.2472752539,30805.3251313755,75661.1990987236,110828.271279757,29304.9764596356,55035.6390131553,19040.8262729122
J,Content,Neg Ctrl,,,,,,,,,,,,,,,,,,,,,,,
J,Sample,,,,,,,,,,,,,,,,,,,,,,,,
J,Cq,NaN,,,,,,,,,,,,,,,,,,,,,,,
J,copy number,NaN,,,,,,,,,,,,,,,,,,,,,,,
K,Content,,,,,,,,,,,,,,,,,,,,,,,,
K,Sample,,,,,,,,,,,,,,,,,,,,,,,,
K,Cq,,,,,,,,,,,,,,,,,,,,,,,,
K,copy number,,,,,,,,,,,,,,,,,,,,,,,,
L,Content,,,,,,,,,,,,,,,,,,,,,,,,
L,Sample,,,,,,,,,,,,,,,,,,,,,,,,
L,Cq,,,,,,,,,,,,,,,,,,,,,,,,
L,copy number,,,,,,,,,,,,,,,,,,,,,,,,
M,Content,,,,,,,,,,,,,,,,,,,,,,,,
M,Sample,,,,,,,,,,,,,,,,,,,,,,,,
M,Cq,,,,,,,,,,,,,,,,,,,,,,,,
M,copy number,,,,,,,,,,,,,,,,,,,,,,,,
N,Content,,,,,,,,,,,,,,,,,,,,,,,,
N,Sample,,,,,,,,,,,,,,,,,,,,,,,,
N,Cq,,,,,,,,,,,,,,,,,,,,,,,,
N,copy number,,,,,,,,,,,,,,,,,,,,,,,,
O,Content,,,,,,,,,,,,,,,,,,,,,,,,
O,Sample,,,,,,,,,,,,,,,,,,,,,,,,
O,Cq,,,,,,,,,,,,,,,,,,,,,,,,
O,copy number,,,,,,,,,,,,,,,,,,,,,,,,
P,Content,,,,,,,,,,,,,,,,,,,,,,,,
P,Sample,,,,,,,,,,,,,,,,,,,,,,,,
P,Cq,,,,,,,,,,,,,,,,,,,,,,,,
P,copy number,,,,,,,,,,,,,,,,,,,,,,,,
